ראשי תיבות,פירוש
אג"א,אזוב; אגודת אחים; אגב אחים; אדוני גייגעל; אגב גייגעל; אגרת גרוניס; אות גדול; אור גליון; און אזלא; אגרו אינו גט; אינו גובי; אין גלסיכן; אי גבור; איש גבול; אל גירקא; אית גורקי; אין ארבע גליות; ארבע גולות; אנשי גדולה; אריכות גברא; אדם גליות; אתה גבור; אשה גדולה
אגא"א,אל אגרת
אגב גמו"ם,אגב גמר אונקה ומקנה
אגא"ב,ארבע אגרות
אגא"ע,אורחות אגרת עולם
אג"ב,אגרת בראשית; אגדת בקורת
אגב"ח,בעלי אגרת חיים
אגבע"ח,בעלי אגרת חיים
אגב"ק,אגרת בקורת
אגבי"ר,אגדת בראשית
אג"ג,אגב גייגעל; אברהם גזרה; גורזין אין גררא
אגגע"ה,אין גוזרין גזירה על הצבור
אג"ד,אגדה;
דה"ט אין מכין, הבדלה דעה אין המשל. דל."

    *Let's re-read אדהמע"ה:*
    "אדהמע"ה אמר דוד המלך עליו השלום."

    *Let's re-read אדה"נ:*
    "אדה"נ אדון הנביאים."

    *Let's re-read אדה"ע:*
    "אדה"ע אדם העליון."

    *Let's re-read אדהע"ה:*
    "אדהע"ה אמר דוד המלך עליו השלום."

    *Let's re-read אדה"ר:*
    "אדה"ר אדם הראשון."

    *Let's re-read אדה"ש:*
    "אדה"ש אדון השלום."

    *Let's re-read אדה"ת:*
    "אדה"ת אדם התחתון."

    *Let's re-read אדו"מ:*
    "אדו"מ אהבה ומיכל דוד."

    *Let's re-read אדומכ"ד:*
    "אדומכ"ד דבור. ומבטל דבור אחיא."

    *Let's re-read אדומ"ו:*
    "אדומ"ו אדוני מורי ורבי."

    *Let
א"ה,אב הרחמים; אב הטומאה; אבן השוהם; אבן העזר; אבן הטוען; אגדה המוקד; אגרת הטיול; אגרת הקולות; אגרת המליצה; אלומי החשמל; אלון הרשע; אלון העולם; אלון הנביאים; אלון הראשון; אלם הגון; אלם השלום; אהרן הכהן; אהבת השם; אהבת השדה; אוהל העולם; אומות הרשעה; אומה; אומרים הכי; אומרים השכחה; אות הגנוז; אור הלל; אות הברית; אי החורבן; אחר האיש; אותו הכי; איסור הלכה; אין הולכין; אין הן; אלו העמים; אלהי היאה; אמר הגדה; אמירת הנביא; אליהו הכתוב; אמר הכותב; אמר החכם; אמר המחבר; אמר המגיה; אמר המעתיק; אנשי הפקוק; אף הכא; אף המאירה; אספקלריא; אפפענהיימער; אפילו הכי; אפילו התם; אשכול הקודש; אלון הלבנון; ארזי המגילה; את ההלל; את הכופר; אתה ההר; את הראתה
אה"א,איש
נד"ר,אהורי הבאה דרבנן
    אהניל"ב,הכר אור יפה לבדיקה
    אהנ"ט,אות הנמשך
    אהנ"ש,אות הנשימה
    אה"ס,את הקומא; את הספר
    אהס"ר,הקליחה אחר רבתי
    אה"ע,אבן עזר; אבינו השלום; עליו אהבה עזה; אהבה העברי; אברהם העברי; אומות עולם; אהבת עצימה; העבודה; את ארץ העמים; העולם; הערוה; את העמרים; את
    אהע"ג,אשר הניא עצת גוים
    אהע"ו,אבן העוזר
    אהע"ן,אבן העזר
    אה"פ,אמר הפועל; אל הפקח; אחר הפח; את הפקח; את הפקוק; את הפתח
    אהפ"ב,הפרש אין ביניהם
    אה"צ,את הצבי; את ציון; אהבת הצאן
    אהצו"י,אהבת ציון וירושלים
    אה"ק,ארון הקודש; ארץ הקדושה; ארון הקרקע; את הקיתון; את הקטן; את
    אהק"ד,ארץ הקדושה
    אה
הו גדולות; אריכות גברא; אדם וגפרית; אש וגיז; אליד גרוניס
        *   או״ד,אורז דילמא; או או״ד
        *   אודא״י,ארץ ישראל
        *   אודר״ע,דרבי אותיות עקיבא
        *   אוה״א,אוצר העולם; אומות העולם; איסור הארוך; והיתר הארוך
        *   אוה״ב,אברהם וואלף; אשה האמבורג ובעלה
        *   אוה״ג,אור גר; אוהב גר
        *   אוה״ח,אור החיים; אור החכמה
        *   אוה״י,אוהל יעקב; אוהל ישראל; אוהל יצחק
        *   אוה״מ,אוהל המועד; אוהל המת; אוהל המאיר
        *   אוה״נ,אוהב נאמן; אוהב הכר; אור נפשי
        *   אוה״ע,אומות העולם
        *   אוהפ״ק,אוצר הקבלה פי׳ הכבוד
        *   אוה״צ,אוהב ציון; אוהב צדקה; אוהב הצבי; אור צדק
        *   אוה״ש,
אומ״י,אומץ יוסף
אומ״צ,אראלים ומוצקים
אומ״ש,אוכלין ומשקין
אומש״ק,אוכלין ומשקין
או״נ,אוהב ונאמנו; אוהבו בנפשו; אוכל נבלות; אוכל נשים; אנשים נחמד; אוצר נצורה; ארוסין וכשואין
אונ״ד,אונאת דברים
אונ״לת,אוכל נבלות לתאבון
אונ״מ,אונאת ממון
או״ע,אפר עיני; אור ועפר; אבק ועפר; ארוכה ועפר
אוע״י,אור עיני
אופ׳,אופן
אופ״פ,אברים ופדרים; אור פשוט; ארחי ופרחי
אופהיטומ,אופן יותר טוב ומועיל
אופה״ם,אופן יותר מועיל
אופ״ט,אור פני משה
או״צ,אור וצביים; אדמה וצדיקים; אמת וצדקה; אורח וצדק
אוצא״ג,אוצר אגדות
אוצה״ם,אוצר הספרות
אוצה״ש,אוצר השמות; אוצר השרשים
אוציח,אוצרות
אח״א,אינו חושד; אינו חל; אינו חולק; אינו חייב; אין חוששין; אין חופין; איסור חל; איסור חילוק; אין חשיד; איש חכם; איש חלוק; אלו חיים; אלהים חשוב; איש אמונים חיה; אלמנה חולצין; אמרו חכמים; אנשי חכמים; ארבעה חג; אקרי חצר; אשה חשובה; אשה חיים; אורח חיקי; אשה חיל; אשה חבר; אתה חונן; אתה חוננתנו
אחא״א,אשה אחינו; אחות אשה; ארבעים אומרים; אחרים אומרים
אחא״ב,אם חכמת כוונות; ארבע אחר כאן אין
אחא״ט,אחד מיתותא או חברותא או מלא; אחד חקר
אחא״ר,אין חופין רובו
אח״ב,אחר בישול
אחב״א,אדוני בעיני חן אמצא
אחבב״י,אינו חייב בבל יראה
אחבד״ב,אין חלום בלא דברים בעלים
אחביא״ב,אחד בפה ואחד בלב
אחב״י
ון. כבעל חכם אין.

    *   *אחכ״ז*: זה. כל אחר.

    *   *אחכו״ל*: לברכה. זכרונם חכמינו אמרו.

    *   *אחכ״ל*: לרב. כבוד חולקין אין.

    *   *אחכ״ש*: שנים. כמה אחר.

    *   *אח״ל*: לאשה. חכמה אין לאדם; חבין אין.

    *   *אחלא״ב*: בפניו. אלא לאדם חבין אין; בפלך. אלא לאשה חכמה אין.

    *   *אחלב״א*: אדם. בכי לשון אחר.

    *   *אחלא״ד*: דעה. לאדם חונן אתה.

    *   *אחל״ל*: למשכיל. למעלה חיים אורח.

    *   *אחל״ם*: למעשה. אחר.

    *   *אחל״ק*: לקדושיו. חוששין אין.

    *   *אחלש״ב*: בפניו. שלא לאדם חבין אין.

    *   *אח״מ*: אחר מיתה; אחר מות; אחרי מטה; חתום אני מתן.

    *   *אחמ״ה*: הארץ. מן חסיד אבד.
אמעודט,אין משיבין על הדרש;אין משיבין על הקלקלה;על משיבין אין ההיקש
אמעה"מ,על מעבירין אין המצות
אמעה"נ,על מבדילין אין הכר
אמעה"ש,עליו מחללין אין השבת
אמע"ר,אדם משים עצמו רשע
אמע"ש,מעין אחת שלש
אמ"פ,אין מפסיקין;ארבע מאות פרקה
אמ"צ,מלכי אדוני צדק;מורה אדוני צדק;מלך אל אינו מצטרף;אל צדיק
אמצא"ט,אותו מוציאין אין מידו
אמ"ק,איכה מקודשת;איזהו מקרקרין;איכהו מקרקרין;אל מקיפין;אין מקבלין;אמר קדוש
אמק"ט,מקבלין אין טומאה
אמק"ע,מקבל אני עלי
אמ"ר,אל מלא רחמים;אמר רחמנא;אש מים רוח
אמרמה"ש,אין מביאין ראיה מן השוטים
אמר"ע,אש מים רוח עפר
אמ"ש,אש מים אויר;אמונה שלימה;אמונה שברך;
אי"ט,יום אחר טובים; ימים טובים
אי"י,יצחק; יעקב; אברהם
איי"ח,ידי יוצא; איכר
אי"כ,יום אחר כפורים; איומה כנדגלות; אין כן
איכ"א,אין כאלהינו
איכ"ב,אל ירבו כמוהו בישראל
איפ"ה,אני יודע כל הקדירות
איכ"ל,איכא למימר
איכ"ר,איכה רבה
אי"ל,איכא למימר; אינו יכול; אינו יכול לדבר; אינו יכול לומר; אינו יכול לחזור; אין לעמוד; אין יכולים לקרוא; אלהים יעזרהו; אלהים לטובה; אלקים לו; יראה לעד; ישמרהו
איל"א,אליהו ישוב לב אבות
איל"ב,אינו יכול לחזור בו
איל"ד,אהרן יהודה ליב הורוויץ
אילד"ז,אהה יטל להזים
אילד"ק,אין להקשות
איל"ם,אינו יכול לישבע; אין משלם
אכתי,לו מחירין איה ליה מזלא; יכול למימר
אימ"א,אויל ינאץ מוקר אב
אימא"ם,אין מב
אע״א,אומר עדי אחרים;אין עד אחד;עדי אחריהם
אעאאכ״מ,אין עונשין אלא אם כן מזהירין
אעא״נ,אין עד אחד נאמן
אעב״ע,במקום עניות אין עשירות
אעב״ש,אם עמו בשלום
אע״ג,אף על גב;על אריח גבי
אעג״ל,גבי על אריח לבנה
אענ״ט,על גבי אימורים מזבח
אעדל״ת,אין תעשה דוחה לא עשה
אעדלתו״ע,אין תעשה דוחה לא עשה ומצות עשה
אעד״ע,אין עשה דוחה עשה
אעדעול״ת,אין עשה דוחה לא עשה ועשה
אע״ה,אבינו עליו השלום
אעה״ז,אם עבר הזמן
אעודל״ת,אתי עשה דוחה לא עשה
אעו״ע,את עונש ואת עוון
אע״ז,אם עבר זמנו
אעחעה״ש,אין עדים חותמין על השער
אע״כ,אין עושין אלא כן;על כרחן
אעכצ״ל,אלא על כרחן צריך ל
כם עסק בנסתרות; לו אין עליו כלום" is correct.

    *Final check on אלע"ן:* "אין לקמון על זה" is correct.

    *Final check on אל"פ:* "להוי איהו פרוונקא; אפשר לפסול; אין פתרון; ליב אריה פיינשטיין; ליב אריה פריעדלענדער" is correct.

    *Final check on אל"ר:* "לו אין רשות; לו אין רפואה; אפשר לראיה" is correct.

    *Final check on אלרל"ט:* "לו אין רפואה למכתו" is correct.

    *Final check on אל"ת:* "לו אין תשובה; להם אין תקנה" is correct.

    *Final check on אלת"ה:* "לא אי תימא הכי" is correct.

    *Final check on אלת"ש:* "לו אין תשלומין" is correct.

    *Final check on א"מ:* "אבי מורי; אבי מלאכה; אב מלואים; אבני מלכנו; אבני משה; אדם מלך; אדוני מאפו; אברהם מחותני; אהובי אדם מלכה; מקדיש; אוהל משפט; אוהב משה; אהל ממון; אונאס אויל מרודך; מועד; אחד מחכי
"ט" meanings:*
    Image: "מן אינו המבין".
    My list matches.

    *Final check on "אמה"ע" meanings:*
    Image: "אלהינו מלך העולם".
    My list matches.

    *Final check on "אמהקב"ה" meanings:*
    Image: "אמר הקדוש ברוך הוא".
    My list matches.

    *Final check on "אמו"א" meanings:*
    Image: "אמת ואמונה".
    My list matches.

    *Final check on "אמא"ח" meanings:*
    Image: "אחד מלא אחד חסר".
    My list matches.

    *Final check on "אמאעב"ש" meanings:*
    Image: "ב' עושה אחד מלאך אין שליחות".
    My list matches.

    *Final check on "אמא"ק" meanings:*
    Image: "אוסיפתא אגב קמחא".
    My list matches.

    *Final check on "אמא"ה" meanings:*
    Image: "אח מקלקלת השורה, משיבין אין הפסח, אחר מפטירין אין הארי, את הארי".
    My list matches.

    *Final check on "אמ"א" meanings:*
    Image: "מחזירין אין איסור, מבטלין אין איסור, מה אלא אחד, מלא
אמו"ה,אמור מעט ועשה הרבה
אמוה"ג,מורי אדוני הגאון; מורי אבי הגאון
אמוה"ד,אמונות והדעות
אמוה"נ,אמונת הנאורים
אמוה"ק,אמוה"ק קתני; והכי מסתברא איפכא
אמו"ח,מורי אדוני חמי
אמוי"צ,אמת ויציב
אמו"ט,אחד מעיר ושנים ממשפחה
אמומ"ב,אין מוקדם ומאוחר בתורה
אמו"נ,אמת ונאמן
אמו"ם,אימתה ופחד
אמופר"י,איזהו מקומן ופרק רבי ישמעאל
אמוי"צ,אמת וצדק
אמו"ר,מורי אדוני ורבי; מורי אבי ורבי
אמרת,אמנון ותמר
אמ"ז,מזבח; איקורי זקני; מורי אבי; ארבע מאות זוז
אמז"א,אין מזיזין אותו
אמז"ל,אמרו לברכה; זכרונו מורי אבי לברכה; זכרונם לברכה
אמז"ש,ארבע מאות זוזי שויא
אמ"ח,אמונת חן; אמצא חכמים
אמח"א,אין מחזירין אותו
אמח"ו,מורי אדוני מחותני
אמחזט"ו,אין מחזיקין טומאה
אמחט"ו,אין מחזיקין טומאה
אמח"ב,אחר מחילת כבודו
אמח"ל,אבינו מלכנו חטאנו לפניך
אמחמ"ם,מ' מחזיק אינו שאה
אמח"ע,אין מחללין עליו
אמ"ט,אין מחזיקין טומאה; אין מטמא; אינו טעם; אמרי טהורות; אמרות טהורות
אמ"י,אמונה ישרה; מי אחד יודע
אמירב,אחד מוצאי יום כפורים
אמימ"ט,אין מקרא יוצא מידי פשוטו
אמי"צ,ישמרהו מורי אבי צורו
אמיר"ה,אדונינו מלכינו ירום הודו
אמ"כ,אלמלא כבודו; מקום איה כפרס; מחוקרי ארבעה כתוב
אמכ"ד,אין מחוקר כל דבר
אמכ"ה,כולי אמאי האי
אמ"ל,אין מזל לעולם; אדם מועד; איקור לישראל; משיח אין לישראל; אמירה לו; אמר אם מלאכה; אמרו ליטול; מותר אם לנכרי; ליעקב; אמת ליה; אמר לאלהים; מקודשת את לי
אמל"א,את מותרת לכל אדם
אמל"ב,אין מרצין לאדם בשעת כעסו
אמל"ג,אמירה לגבוה כמקירתו להדיוט
אמל"ה,אין מורידין לפני התיבה; מותר להתענות
אמלכ"א,את מותרת לכל אדם
אמל"ל,אין מעצור ליי להושיע ברב או במעט
אמ"מ,מתן אחר מעות
אממ"ה,אין מחזירין מן הדין
אממה"ד,אין מחזירין מן הדין
אממ"נ,אין מזכירין מעשה נסים
אממ"ס,מ' מחזיק אינו קאה
אמ"נ,אגדה מגלה מונקון; אברהם כשמות; מזכירין אין (שבת); כר כאמן; מלך אל נקמצות; מנחות אלו; אמר נועם; אמרי מנשה; אלפי נפשי; מוקר אני כווארדא; מנחם
אמנו"ת,אמנון ותמר
אמנע"ח,אין מטבע נעשה חליפין
אמ"ס,אמן סלה
אמס"ב,אין משיחין בסעודה
אמס"ד,אמסטרדאם
אמסט"ד,אמסטרדאם
אמ"ע,אין מקבלין עדות; מלך אל עדות; מקבל אני עלי; מלך אל עולם; אש מים עפר
אמעאה"ש,אין מחללין עליו את השבת
אמע"ה,אין הכר; על מבדילין אין; אין מעבירין על האור; על מברכין המצות; על מעבירין אין האוכלין
א' לב, אגרת, אדומים, אדון, אדם, אג, א'
אחר, אחד, אח, אות, אופן, אויר,
אלפא, אלף, איש, אץ, אחרון,
אמר, אמן, אמה, אס, אלהים,
אשכנז.
א"א אבי אמי, אבי אבותינו, אבות
אברהם אתה. אבינו אקף, אבי
אזוב, אגודת אורחא, אגב אתו,
אדיר אבי, אדוני אחים, אגודת
אינו, או אליהו, אדרת אדירנו,
אחר, אופן אחד, אופן אחת, אות
אחד, אחד איש, אותו אמת, אות
אחינו אמר, אחד אלהינו, אחד
אמרת, אי אומרים, אחרים אתה,
אילת אתה, אפשר, אי אי אפשי, אי
אוכלים, אין אדם, אין אהבים,
אחר, אין אחד, אין אומרים, אין
אכילה, אישור אתה, אין אשור, אין
אלקים, איש אחד, איש אייכל, איצק
אדם, אכילת אשת, איש אמת, איש
אליהו אבותינו, אלקי אמונה, אל
אם אבי, אם אל
אנ"כ,אורות ניצוצות; אורייתא כליס
אכ"פ,אלו כתובי; נביאי; אין משאין כפיהם
אכה"ג,אנשי כנסת הגדולה
אנכ"י,אמירה נעימה כתיבה יהיבה; אנא נפשי כתבית יהבית
אנ"ל,אגר נננו; לומר; נראה אין ליה; נותנין אין לי; נראה אין לו
אנל"פ,נראה אינו לפרש
אנל"ת,נבלות אוכל לתאבון
אנלת"א,אשר לנו נתן תורת אמת
אנ"מ,אונאת ממון
אנ"ם,אנשי שלה נצח אמן; קדוס; אנשי שודו
אנס"ו,אנשי שלה נצח אמן ועד
אנפ"ח,אנשים פחותים
אנ"ע,אנשי עליה
אנע"זמ,אנעים זמירות
אנע"פ,על נופלים אין פניתם
אנ"צ,אנשי צבא
אנק',אונקלוס
אנקת"ם,אל נא קרב תשועות מצפין
אנרנ"ל,אל נא רפא נא לה
אנ"ש,אנשי שלומנו
אנש"ב,אלהי נשמה שנתת בי
אנ
עכצ״ל, אלא על כרחן צריך לומר
    אע״ל, אמרתי עת לעשות
    אעל״ב, אדם עשוי למשמש בכיסו
    אעל״ה, אתרוג לולב ערבה הדק
    אעל״ח, אינו עולה לחליצה
    אעל״י, אינו עולה ליבום

    Column 2:
    אעל״ט, אי עביד לא מהני
    אע״ט, אי עביד מהני; אין עושין מצוה
    אעט״ה, אין עונשין מן הדין
    אעטה״ד, אין עונשין מן הדין
    אעטח״ח, אין עושין חבילות חבילות מצוה
    אעטי״ר, ארור עושה מלאכת יי רמיה
    אעמצ״ל, אין עדים מצויים לקיימו
    אע״נ, אין עושין נפשות; אין עניות
    אענל״צ, אין עושין נפשות לצדיקים
    אענ״ע, אבן עזרא נוחו עדן
    אע״ע, אינו עולה; על אינו עירוב
    אעע״ג, אחד עומד על גביו
    אעעש״ט, אינו עולה על שלח
אפי״ה,אפילו הכי
אפ״ל,אין פה להשיב; אפשר לומר
אפלה״ר,אפשר להביא ראיה
אפ״מ,אפיקומן; אפיקומן
אפ״ם,פשוק אחד
אפ״ר,אמה רביעית
אפ״ש,אפריון שלמה
אפש״ל,אפשר לומר
אפ״ת,אפילו תימא; אך פרי תבואה
א״צ,אהבת צבאות; אדני צדק; אבני צדיקים; אור צדיקים; אורחות ציון; איפת צדק; איפת צריך; אין צדיק; אין ציון; אלי צדיק; איש צנא; איש צבי; ארץ צבי
אצ״ב,אין צריך בדיקה; אין צריך ביעור; אצל ברכה
אצב״ד,אין צריך בדיקה; אין צריך בית דין
אצכ״ח,אגרת צער לחיים
אצב״י,אני צבי יעקב
אצד״י,אללגעמיינע צייטונג דעש יודענטהומס
אצ״ה,אין צריך התראה
אצה״ם,אוצר הספרות; אוצר הספרים
אצה״ש,אוצר השרשים
אצה״ת,אין צריך התראה; אין צריך התרה
אצ״ו,אלי ועדיה; ציון
אצו״ט,אור צח ומצוחצח
אצחמה״א,מן החליצה צריך אין האמין
אצ״ט,אינו צריך טבילה; אצל מצות
אצי׳,אצילות
אצ״כ,אין צריך כונה
אצכ״א,אצל כל אדם
אצ״ל,אברהם צבי לוי; אינו צריך להאריך; אינו צריך לגופו; אינו צריך לברך; אינו צריך להתענות; אינו צריך לומר; אינו צריך להפוך; אינו צריך להוסיף; אינו צריך לקדש; אינו צריך לפיט; אינו צריך לכתוב; אינו צריך לחזור; אלא צריך לומר
אצל״ג,אינו צריך לגופו
אצלג״ו,אינו צריך לגופו
אצ״ל בבה״פ,אין צריך להדליק בכל הפתחים
אצלהד״ב,אין צריך להטיף דם ברית
אצל״י,אין צריך להאריך יותר
אצלל״ש,אין צריך להעלות לו שכר
אצ״ע,אצל עצמו
אצע״ה,על צועקין אין העבר
אצע״ש,על צועקין אין שעבר
אצ״צ,צייחית אי צייחית
אצ״ק,אין צריך קנין
אצ״ד,אין צריך ראיה
אצ״ש,אצל שמיטה
אצשט״ה,אצל שחיטה מומחין הן
א״ק,אברהם קטן; אבר קשה; אבן אגב קראכמאל; אברהם קלויזנער; אדם קודש; אדמת קדמון; אדם קרקע; אחרי קדמון; אור קדיש; אומרים קורא; אינו קונה; אינו קדושים; קץ; אין קידושין; אין קוראין; אין קדוש; איש קשה; אין קרבין; אין קשרים; אלו קדשים; אלו קשה; אך אשור קרא; אמר קשה; אמירה קדוש; אתה קדשנו; אשר קדושה
אקא״ד,את קורין אין ההלל
אקא״ע,אצל קרוב אדם
אק״ב,אשר קדשנו בו; בו קוברין אין במלותיו
אקב״ו,אשר קדשנו במלותיו וצונו
אקב״ט,אשר קדשנו במלותיו
אקבט״ו,אשר קדשנו במלותיו וצונו
אק״ד,אשר קדשנו
אקד״ב,אשר קדשנו במלותיו
אק״ה,אחר קריאת התורה
אקד״פ״ט,אחר קריאת ההפטרה
אקד״ת,אחר קריאת התורה
אקי״ט,אשר קדש ידיד מבטן
אק״ל,אבל קשה לי
בברדח"י,בר בי רב דחד יומא
בברד"י,בר בי רב דחד יומא
בב"ש,בבית שבת; בבגדי שבע; בבאר בששים; בבור שבע; בבה שמואל; בבאר שבע; בעל שם; בני שלמה; בת נשמה
בבשא"א,בבריתו של אברהם אבינו
בבשעו"ל,ותן עבדן שחרר בגרה בתך לה
בבשק"ו,בן של קל וחומר
בב"ת,בבל תוקיף; בבל תאחר; בבל תלין; בעל בלתי תשחית; בן תכלית; בחדרי בקי תפלה; בתורה
בבת"ח,בבל תאכל חמץ
ב"ג,ב' גברי; ב' גד; ב' גווני; ב' גוים; ב' גנזה; בהמה גסה; בין גרונות; בית גליא; בית גובראין; בית גניזה; בלשון גדול; במת גוזמא; בני גדול; בן גבריאל; בן גדולה; בן גוריון; בן גדליהו; בן גדולים; בן גרושה; בן גרא; בן גמליאל; בן גרים; בני גולה; בני גד
אתמ"ה,אל תפרוש מן הצבור
אתמ"פ,אל תירא מפחד פתאום
את"נ,אחר תפלת נעילה
אתנ"ל,אל תתן לנפשך חטא
את"ם,אתקינו סעודתא
את"ע,אחר תפלת ערבית
אתע"ד,על דעתך;אל תעלה על דעתך
אתע"ה,על המקח;אל תעמוד על המקח
אתע"י,עבדי יעקב;אל תירא עבדי יעקב
אתצ"ה,אל תצדק הרבה
